Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;41.60062186906243;148.3073110402929;99.56;3.56502629953679;983748.9294;275944.36807599996;0.0;enero
T.HUEVOS KGS;0.71798947575979;2.26628316217347;79.249;3.156429500272594;15032.661699999999;4762.552656000001;1.0;enero
T.HUEVOS UNDS.;11.34563660923953;2.26628316217347;79.249;0.19974931687199282;15032.661699999999;75257.63759999999;1.0;enero
TOTAL HUEVOS GALLINA;11.19505758643331;2.24652767214919;79.105;0.20067138152747377;14901.62;74258.82;2.0;enero
OTRAS AVES;0.15057902280622;0.01975549002427;1.844;0.13119682712839661;131.0417;998.8176;2.0;enero
MIEL;0.02495715884878;0.18902037996584;7.933;7.573794000796157;1253.806;165.5453;1.0;enero
GRANEL;0.00903821994181;0.08628861166417;1.559;9.547080312242453;572.3678000000001;59.95213;2.0;enero
ENVASADA;0.01591892835396;0.10273181352885;6.287;6.45343777197563;681.4385;105.5931;2.0;enero
TOTAL CARNE;3.53152542386239;31.03905419359677;97.571;8.789135137996452;205887.6;23425.24;1.0;enero
CARNE CERTIFICADA;0.52721101627594;5.51645303656703;48.663;10.463463141444947;36591.62;3497.085;2.0;enero
CARNE FRESCA;2.57690169434127;20.03158690358818;91.912;7.7735161366754335;132873.1;17093.05;2.0;enero
SALCHICHAS FRESCAS;0.01920510535297;0.16400311419024;7.796;8.539558163102704;1087.862;127.39089999999999;3.0;enero
CARNE VACUNO;0.39287105490396;5.0988930652394;55.821;12.97854092734261;33821.87;2605.984;3.0;enero
TERNERA;0.2494986219652;3.13111560050415;41.99;12.549630839006651;20769.25;1654.969;4.0;enero
AÑOJO;0.12426390269821;1.67296708447337;24.471;13.463017402055433;11097.09;824.2647;4.0;enero
MAYOR;0.01910846993764;0.29481068177642;5.78;15.428272527236707;1955.532;126.7499;4.0;enero
CARNE POLLO;1.06821014245987;5.69114303269516;78.923;5.327737311676917;37750.37;7085.629;3.0;enero
POLLO ENTERO;0.16844789102376;0.63155661108941;15.589;3.7492699211076257;4189.228;1117.345;4.0;enero
POLLO FILETES;0.1559306649711;1.13886947572871;37.149;7.303691521739971;7554.325;1034.316;4.0;enero
POLLO POR PIEZAS;0.743831586465;3.92071589057609;71.274;5.270972572177201;26006.81;4933.968;4.0;enero
CARNE CONEJO;0.02717197925018;0.24108923022925;7.224;8.872715086724893;1599.188;180.2366;3.0;enero
CARNE OVINO/CAPRINO;0.08388287224565;1.3798567940379;11.848;16.44980384072827;9152.837;556.4100999999999;3.0;enero
CORDERO;0.07129750390324;1.21852223442929;10.484;17.090671730709744;8082.676;472.92909999999995;4.0;enero
CABRITO;0.01004333077623;0.13263797200387;1.241;13.206572098348207;879.8114;66.61921000000001;4.0;enero
OTRO OVINO/CAPRINO;0.00254203153589;0.02869664790765;0.449;11.288863848651532;190.35;16.86175;4.0;enero
OVINO/CAPRINO ENTE;0.02588840163202;0.33187028817833;1.706;12.819265279311262;2201.355;171.7224;4.0;enero
OVINO/CAPRINO PIEZ;0.05799447061362;1.04798650585956;10.143;18.070455592939414;6951.482;384.6877;4.0;enero
CARNE CERDO;0.7464214457474;5.61914889448503;71.973;7.5281182319975555;37272.82;4951.147;3.0;enero
CARNE CERDO ADOBAD;0.1207630322593;1.03168768424023;30.29;8.543075351279606;6843.369;801.0428;4.0;enero
CARN.CERDO IBERICO;0.02147875124432;0.24598823874203;5.801;11.452632229119464;1631.684;142.4724;4.0;enero
CARNE DESPOJOS;0.04344473493611;0.30098374004737;11.921;6.927968152872872;1996.479;288.17670000000004;3.0;enero
DESPOJOS CERDO;0.01802238435394;0.14089478229853;5.922;7.8177659254996215;934.5803000000001;119.5457;4.0;enero
DESPOJOS CORDERO;0.00400411029416;0.02723612647206;1.388;6.802042019609955;180.6621;26.55998;4.0;enero
DESPOJOS POLLO;0.01212116256163;0.06037562152007;3.885;4.981009141084334;400.4823;80.40183999999999;4.0;enero
DESPOJOS TERNERA;0.00870100153918;0.0673899958578;2.5;7.745084925487695;447.0099;57.715300000000006;4.0;enero
DESPOJOS OT.PROCED;0.00059607633793;0.00508727570938;0.294;8.534604354556953;33.74481;3.953881;4.0;enero
OTRAS CARNES FRESCA;0.21489982661555;1.70047727260149;43.574;7.912883408899106;11279.57;1425.469;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.08906115861631;0.73916549794706;24.94;8.299527082635784;4903.017;590.7586;4.0;enero
OTRAS AVES;0.01891654084674;0.1655865178833;5.971;8.753530533134413;1098.365;125.4768;2.0;enero
CARNE CABALLO;0.00069548749627;0.01507711478815;0.336;21.67848432778928;100.00919999999999;4.613293;4.0;enero
CARNE CONGELADA;0.05784182886943;0.31292115360803;10.014;5.409945704074696;2075.662;383.6752;2.0;enero
C.CONG.POLLO;0.0439356760126;0.18213921475914;6.801;4.145588079875594;1208.162;291.4332;3.0;enero
C.CONG.CERDO;0.00692608484532;0.05757803378402;1.846;8.313215195868874;381.9254;45.94196;3.0;enero
C.CONG.VACA;0.00152079118027;0.01965972900115;0.387;12.927303403755866;130.4065;10.08768;3.0;enero
RESTO CARNES CONG.;0.00545927683123;0.05354407053362;1.662;9.807905367117746;355.16740000000004;36.212360000000004;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.89678132777402;10.69453588490563;91.595;11.92546672604287;70938.77;5948.511;2.0;enero
JAMON CURADO+PALETA;0.16674523832363;3.5314741663878;52.431;21.178860649282903;23424.9;1106.051;3.0;enero
JAMON C.+P.ENTERO;0.07737362524429;1.15970156870387;8.774;14.988331812581848;7692.508;513.2330999999999;4.0;enero
JAMON C.+P.LONCHA;0.08937164323079;2.37177229616936;48.921;26.538309137322226;15732.39;592.8181;4.0;enero
JAMON CURADO NORMAL;0.10882255832589;1.90867005866667;43.653;17.53928678051007;12660.55;721.8395;3.0;enero
JAMON C.N.ENTER/PI;0.03986557624262;0.55435591951895;6.364;13.905629160986328;3677.142;264.4355;4.0;enero
JAMON C.N.LONCHA;0.06895698208327;1.35431383763316;41.151;19.639981285690553;8983.406;457.404;4.0;enero
JAMON IBERICO;0.04599325657282;1.26011435840063;11.899;27.397806815555843;8358.564;305.0815;3.0;enero
JAMON IBE.ENTER/PI;0.03350556387096;0.54721062756082;2.469;16.331933098281024;3629.746;222.2484;4.0;enero
JAMON IBE.LONCHA;0.01248770023972;0.71290373083981;10.131;57.08847242921464;4728.818;82.83314999999999;4.0;enero
PALETA CURADA NORM.;0.00319380198435;0.06877521403293;2.96;21.53396308530634;456.19829999999996;21.18506;3.0;enero
PALETA C.N.ENTR/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA C.N.LONCHA;0.00319380198435;0.06877521403293;2.96;21.53396308530634;456.19829999999996;21.18506;4.0;enero
PALETA IBERICA;0.00873563500871;0.29391427900018;3.655;33.645439479451476;1949.586;57.945029999999996;3.0;enero
PALETA IB.ENTER/PI;0.00400247910041;0.05813517238138;0.233;14.524790991504062;385.621;26.54916;4.0;enero
PALETA IBE.LONCHA;0.00473315590829;0.23577910661879;3.415;49.814354563195735;1563.965;31.39587;4.0;enero
HUESOS JAMON CURADO;0.01447144440779;0.07942883891524;8.955;5.488660058871769;526.8657;95.99167999999999;3.0;enero
LOMO EMBUCHADO N+IB;0.02459029101225;0.64143272038508;17.476;26.084795827156594;4254.738;163.1118;3.0;enero
LOMO EMB.AL CORTE;0.0085911974756;0.23956160672913;5.85;27.88454198724445;1589.055;56.98695;4.0;enero
LOMO EMB.ENVASADO;0.01599910107451;0.40187111365594;13.098;25.118355824127985;2665.683;106.1249;4.0;enero
LOMO EMB.NORMAL;0.01734765507958;0.33412184812842;13.638;19.260346519208724;2216.29;115.07010000000001;4.0;enero
LOMO E.N.AL CORTE;0.00560942806518;0.12085473791163;3.917;21.544930518265527;801.6510999999999;37.20834;5.0;enero
LOMO E.N.ENVASADO;0.01173822249167;0.21326697453523;10.977;18.168591938555693;1414.638;77.86173;5.0;enero
LOMO EMB.IBERICO;0.00724264497811;0.30731087225665;4.645;42.430751912502785;2038.448;48.041760000000004;4.0;enero
LOMO E.I.AL CORTE;0.00298176941041;0.11870683866604;2.245;39.81087144142081;787.4037;19.77861;5.0;enero
LOMO E.I.ENVASADO;0.00426087556769;0.1886041391207;2.465;44.264174375467704;1251.045;28.263150000000003;5.0;enero
OTRAS SALAZONES;0.03025042779554;0.24633407593825;12.821;8.143160077047094;1633.978;200.6565;3.0;enero
O.SALAZONES AL COR;0.01481270762819;0.11067557633531;5.566;7.471664135506529;734.1309;98.25533999999999;4.0;enero
O.SALAZONES ENVASA;0.01543771112191;0.13565855990585;7.678;8.78747884544209;899.8475;102.4011;4.0;enero
TOCINO Y MANTECA;0.03553121403966;0.22887366949029;20.706;6.441481825946423;1518.16;235.6849;3.0;enero
TOCINO;0.002297914798;0.01952098707801;2.042;8.495087413596739;129.4862;15.242479999999999;4.0;enero
CHORIZOS;0.0777059093612;0.86746838411304;39.061;11.163480245508087;5754.073;515.4372;3.0;enero
CHOR.IBERICO;0.01010309397646;0.16542701668295;8.696;16.37389665664562;1097.307;67.01563;4.0;enero
CHOR.NORMAL;0.06760280483173;0.70204136743008;34.818;10.384796447092747;4656.766;448.4215;4.0;enero
CHORIZO DE PAVO;0.00102713300535;0.01239065928731;1.124;12.063344496538097;82.18946000000001;6.813157;4.0;enero
CHORIZO DE CERDO;0.07634030470797;0.84948816656981;38.155;11.12764967102697;5634.807;506.37890000000004;4.0;enero
SALCHICHON/SALAMI;0.02500620019138;0.32244720450369;20.49;12.894690198262984;2138.85;165.8706;3.0;enero
SALCHICHON DE PAVO;0.00071449120497;0.01053284116615;0.948;14.74173662706347;69.86622;4.739348;4.0;enero
SALCHICHON DE CERD;0.02410287765606;0.30782691441997;19.651;12.771376049467502;2041.871;159.8787;4.0;enero
FUET/LONGANIZAS;0.04457821860807;0.54976279752367;24.732;12.332542992736105;3646.675;295.6953;3.0;enero
FUET/LONGANIZ.PAVO;0.00126066356716;0.02080215257971;1.841;16.50095483166107;137.9844;8.362207;4.0;enero
FUET/LONGANIZ.CERD;0.0431726029732;0.5251922255634;23.431;12.164942333667165;3483.694;286.3716;4.0;enero
OTROS PROD.CURADOS;0.02151092284749;0.3092423745051;15.596;14.376062649541861;2051.26;142.6858;3.0;enero
O.PROD.CURAD.CORTE;0.00819439527391;0.12072477006209;5.004;14.732602715229486;800.789;54.35489;4.0;enero
O.PROD.CURAD.ENVAS;0.01331653058873;0.18851760444301;11.553;14.156660639710235;1250.471;88.33093;4.0;enero
SALCHICHAS;0.11626325917068;0.48760451641592;31.552;4.193969099903397;3234.368;771.195;3.0;enero
JAMON COCIDO;0.08278335418847;0.91591106956361;40.393;11.063952150070804;6075.402;549.1168;3.0;enero
J.COC.SIN/BAJO SAL;0.00171222578729;0.02006357759802;1.469;11.717834030376402;133.0853;11.3575;4.0;enero
PALETA COCIDA;0.00010936505839;0.00169103383669;0.203;15.462286232593273;11.21693;0.725438;3.0;enero
FIAMBRES;0.17880627285243;1.73337552585291;62.981;9.694153891812682;11497.79;1186.054;3.0;enero
PAVO;0.09432108005313;0.99132287527081;44.067;10.510088250816834;6575.622;625.6486;4.0;enero
POLLO;0.00564213485669;0.07035668803283;5.429;12.469869972951443;466.6885;37.425290000000004;4.0;enero
PROD.A BASE SANGRE;0.01015210064488;0.0731017820846;6.905;7.2006557698390425;484.8972;67.3407;3.0;enero
MORCILLA;0.01015210064488;0.0731017820846;6.905;7.2006557698390425;484.8972;67.3407;4.0;enero
FOIE-GRAS Y PATES;0.0224676134593;0.25943247129842;19.274;11.546952762398872;1720.862;149.0317;3.0;enero
COCIDOS Y OTROS;0.04580954375359;0.44695522846251;30.978;9.756814668720661;2964.734;303.8629;3.0;enero
COCIDOS Y O. CORTE;0.00273797378552;0.0375383059874;3.198;13.710250326653073;248.9983;18.16147;4.0;enero
COCIDOS Y O.ENVASA;0.04307156544535;0.40941696770228;29.146;9.50550469826189;2715.736;285.70140000000004;4.0;enero
COCIDOS DE PAVO;0.00154385855141;0.02100537339074;1.697;13.605762892930066;139.3324;10.24069;4.0;enero
COCIDOS DE CERDO;0.04312114951415;0.41219180616505;29.46;9.558924351720778;2734.142;286.0303;4.0;enero
TOTAL PESCA;1.4042084664302;16.68932819708424;88.353;11.885221173400316;110703.3;9314.366;1.0;enero
PESCADOS;0.78343371436395;8.8500673207383;69.421;11.296510679175224;58704.08;5196.656;2.0;enero
PESCADOS FRESCOS;0.63032597942737;7.18280338409969;54.807;11.39537892857442;47644.82;4181.065;3.0;enero
PESCADOS CONGELADOS;0.15310773493658;1.66726393663861;34.701;10.88948208481564;11059.26;1015.591;3.0;enero
MERLUZA/PESCAD;0.14085581154211;1.47554153397537;25.86;10.475546005669568;9787.531;934.3218;3.0;enero
MERLUZA/PESCAD.FRE;0.07685500513151;0.89167125907174;12.477;11.601993358088478;5914.615;509.793;4.0;enero
MERLUZA/PESCAD.CON;0.06400080641059;0.58387027490362;16.16;9.122858095846501;3872.916;424.5288;4.0;enero
SARDINA/BOQUERON;0.0659696210854;0.43433910563534;19.565;6.583926032757274;2881.049;437.5883;3.0;enero
BOQUERONES FRESCOS;0.04548466181905;0.32303591167511;14.221;7.102084499610386;2142.755;301.7079;4.0;enero
SARDINAS FRESCAS;0.01956202320914;0.10567322370832;6.414;5.401957792327895;700.9494;129.7584;4.0;enero
ATUN Y BONITO;0.02251082049523;0.31982508316375;9.017;14.207615543439752;2121.457;149.3183;3.0;enero
TRUCHA FRESCA;0.02127301278675;0.22677889710954;7.278;10.66040336565616;1504.265;141.10770000000002;3.0;enero
LENGUADO;0.01048335508958;0.13935921388985;3.183;13.293379142359202;924.3946;69.53797;3.0;enero
LENGUADO FRESCO;0.00939004672469;0.11861528377098;2.575;12.632022741598174;786.7964000000001;62.28586;4.0;enero
LENGUADO CONGELADO;0.00109330806337;0.02074393011886;0.557;18.97354534709081;137.59820000000002;7.252108;4.0;enero
BACALAO;0.06087072349744;0.64861977210928;15.914;10.655693490097244;4302.411;403.76640000000003;3.0;enero
BACALAO FRESCO;0.04371532917477;0.41344414687516;10.64;9.457646886798571;2742.449;289.97159999999997;4.0;enero
BACALAO CONGELADO;0.01715539432267;0.23517562523411;6.919;13.708552587640208;1559.962;113.79480000000001;4.0;enero
BACALADILLA;0.01490834955306;0.07757058962828;4.833;5.203164129750554;514.5396;98.88975;4.0;enero
CABALLA FRESCA;0.01092941572435;0.07082097522254;4.001;6.479850067803022;469.76820000000004;72.49677;3.0;enero
SALMON;0.16674192166351;2.35316583289244;29.214;14.112622725082254;15608.97;1106.029;3.0;enero
SALMON FRESCO;0.15379292676605;2.10799077890908;25.246;13.70668224628873;13982.68;1020.136;4.0;enero
SALMON CONGELADO;0.01294893007183;0.24517565701247;5.318;18.934047496774166;1626.294;85.89257;4.0;enero
LUBINA;0.07515217152265;0.85322966070047;16.517;11.353360034888821;5659.625;498.4978;3.0;enero
DORADA;0.03376908759328;0.36075553344102;8.458;10.68301097696213;2392.956;223.9964;3.0;enero
RODABALLO;0.00764563727364;0.13170582467695;1.317;17.22627165833775;873.6283000000001;50.71488;3.0;enero
RAPE;0.01799541387687;0.26264209375155;3.704;14.59494599838481;1742.152;119.3668;3.0;enero
OTROS PESCADOS;0.14923675537966;1.57328486454683;31.019;10.54220765215891;10435.88;989.9141;3.0;enero
OTROS PESCADOS FRE;0.10702602906862;1.21458958006985;23.129;11.34854381349634;8056.59;709.9228;4.0;enero
OTROS PESCADOS CON;0.04221074138676;0.35869453069058;13.556;8.497707429585336;2379.285;279.9914;4.0;enero
PEZ ESPADA/EMPERDR;0.01737350995279;0.25767675203636;6.122;14.831588593008078;1709.216;115.2416;4.0;enero
MARISCO/MOLUSCO/CRUS;0.31842409577732;3.6138072387377;43.54;11.349038237561096;23971.03;2112.164;2.0;enero
MARISCO/MOLUSC CONG;0.10729400013064;1.30542400609541;25.094;12.166794084532492;8659.111;711.7003000000001;3.0;enero
MARISCO/MOLUSC FRES;0.12862035084243;1.354371728428;20.29;10.529995599896761;8983.79;853.1618000000001;3.0;enero
MARISCO/MOLUSC COCI;0.08250975987997;0.9540121072434;21.343;11.562415266160182;6328.133;547.302;3.0;enero
ALMEJAS,BERBERECHO;0.02160698538517;0.25316322988397;7.717;11.716730741053425;1679.277;143.323;3.0;enero
ALMEJAS CONGELADO;0.00550391304616;0.03222263450911;2.167;5.854495563217711;213.7385;36.50844;4.0;enero
BERBEREC.CONGELADO;0.00060113786279;0.00795749227178;0.345;13.237383243196476;52.78347;3.9874549999999997;4.0;enero
ALMEJAS,BERB.FRESC;0.01550193372243;0.21298309858036;5.446;13.739131026742951;1412.755;102.8271;4.0;enero
MEJILLON;0.0331354246015;0.13365695552303;6.884;4.033657547185263;886.5705;219.7932;3.0;enero
MEJILLON CONGELADO;0.00221467868955;0.02072853780076;1.133;9.359614059832435;137.4961;14.69036;4.0;enero
MEJILLON FRESCO;0.03092073988165;0.11292841772227;6.113;3.6521900237344394;749.0744;205.1028;4.0;enero
CALAMARES,PULPO;0.06040813986498;0.70380040335226;13.794;11.65075443351352;4668.434;400.698;3.0;enero
CALAMARES CONGELAD;0.02019829430183;0.21332999107753;6.332;10.561782489630831;1415.056;133.97889999999998;4.0;enero
PULPO CONGELADO;0.00734510263953;0.10689494561522;0.696;14.553226940616216;709.0533;48.721379999999996;4.0;enero
CALAMAR Y PULPO FR;0.03286475498419;0.38357536112941;7.79;11.671328793226355;2544.324;217.99779999999998;4.0;enero
GAMBAS/LANGOSTINOS;0.13376690280603;1.60907464239435;31.053;12.028944444707415;10673.28;887.2998;3.0;enero
GAMBAS/LANG.CONG.;0.06031837898153;0.72766060701759;16.781;12.063663170396794;4826.703;400.1026;4.0;enero
GAMBAS/LANG.COCIDO;0.05924874101689;0.67117336244434;14.944;11.328061169316108;4452.013;393.0075;4.0;enero
GAMBAS/LANG.FRESCO;0.0141997828076;0.2102414267188;7.538;14.805960736683522;1394.569;94.1897;4.0;enero
OTROS MARISC/MOLUSC;0.06950665819536;0.91411193220543;20.003;13.151429747005803;6063.468;461.0501;3.0;enero
OTROS MARISC.CONG.;0.01111250440845;0.19662985358359;4.54;17.694467993547253;1304.281;73.71123;4.0;enero
OTROS MARISC.COCI.;0.02326101886307;0.28283859404178;8.322;12.15933814879986;1876.119;154.2945;4.0;enero
OTROS MARISC.FRES.;0.03513312437081;0.43464348458005;10.229;12.371330257809353;2883.068;233.0443;4.0;enero
CONS.PESCADO/MOLUSCO;0.30235065628892;4.22544760731709;75.597;13.97532143366445;28028.15;2005.546;2.0;enero
SARDINAS;0.01493672508796;0.16440382703572;13.283;11.00668493712578;1090.52;99.07797000000001;3.0;enero
ATUN;0.11688695710637;1.18990548787909;40.226;10.17996804208158;7892.856;775.3321;3.0;enero
CHICHARRO/CABALLA;0.00835093258617;0.09703964082394;8.133;11.620216044451642;643.6813000000001;55.39323;3.0;enero
MEJILLONES;0.03194560293466;0.34807760012978;19.7;10.895947114901352;2308.861;211.9009;3.0;enero
BERBERECHOS;0.00222217735657;0.05376376911516;1.848;24.19418457133941;356.6247;14.7401;3.0;enero
ALMEJAS;0.00219927431086;0.02361581104162;2.436;10.738001587586663;156.6479;14.58818;3.0;enero
CALAMARES;0.00893027471546;0.08068556666215;6.419;9.035059864667009;535.2018;59.236110000000004;3.0;enero
PULPO;0.0;0.0;0.0;;0.0;0.0;3.0;enero
ANCHOAS;0.00557136788272;0.1298321378447;7.683;23.303458069460127;861.1998000000001;36.95588;3.0;enero
SALMON AHUMADO;0.01960462721596;0.69764302383825;19.828;35.58563068570682;4627.591;130.041;3.0;enero
TRUCHA AHUMADA;0.00030683870046;0.01139402251949;0.698;37.13359006660391;75.57858999999999;2.035316;3.0;enero
OTROS AHUMADOS;0.00120812284662;0.03530687213395;2.543;29.22457118719891;234.1968;8.013695;3.0;enero
OTRAS CONS.PESCADO;0.09018769237775;1.39378013322444;42.974;15.454216606258015;9245.193;598.2311;3.0;enero
BOQUERONES;0.00819509177253;0.15280260220548;8.959;18.64562428910783;1013.567;54.35951;4.0;enero
PESCADO SALADO;0.01750661355372;0.24279550110406;8.35;13.86878737906299;1610.506;116.1245;4.0;enero
SUSHI;0.00223122580841;0.05898699623046;1.627;26.437035645656923;391.2713;14.800120000000001;4.0;enero
TOTAL LECHE LIQUIDA;5.47834461178061;5.04889139877483;79.691;0.9216089451396907;33490.2;36338.84;1.0;enero
LECHE PASTERIZADA;0.22126133148426;0.222156377445;6.909;1.004045198294435;1473.603;1467.666;2.0;enero
LECHE ESTERILIZADA;5.25159963505866;4.82210571758777;77.718;0.9182165535613811;31985.89;34834.8;2.0;enero
LECHE CRUDA;0.00548323367031;0.00462989018786;0.591;0.8443722201616827;30.71089;36.371269999999996;2.0;enero
LECHE BOTELLA VIDRIO;0.0;0.0;0.0;;0.0;0.0;2.0;enero
LECHE BOTELLA PLAST.;0.55838234490544;0.59565572512784;11.671;1.0667524332788856;3951.091;3703.85;2.0;enero
LECHE CARTON;4.91352342352273;4.44727940434211;75.338;0.9051100444645174;29499.6;32592.28;2.0;enero
LECHE BOLSA;0.00095482770411;0.00132569015624;0.207;1.3884077206075653;8.79354;6.333543;2.0;enero
LECHE ENVASADA;5.47286006199926;5.04426164276094;79.695;0.921686574408456;33459.49;36302.46;2.0;enero
LECHE ENTERA;1.55971369436219;1.52960143561213;32.758;0.9806937267660688;10146.12;10345.86;3.0;enero
LECHE DESNATADA;1.33578802950008;1.19224765295339;28.553;0.892542549134526;7908.392;8860.521;3.0;enero
LECHE SEMIDESNATAD;2.57735999646704;2.32241134813719;46.25;0.901081475354891;15404.97;17096.09;3.0;enero
LECHE DE CABRA;0.00491405559671;0.00920654345808;0.536;1.8735122704421212;61.06865;32.59581;3.0;enero
LECHE SIN LACTOSA;0.7511369826526;0.72340819647107;19.306;0.9630842485166864;4798.496;4982.426;3.0;enero
LECHE ENRIQUECIDA;0.74510925439785;0.73009880447811;19.207;0.9798546993865179;4842.876;4942.443;3.0;enero
L.ENRQ.CON CALCIO;0.3161616813032;0.33105936477883;8.488;1.0471204587925462;2195.976;2097.157;4.0;enero
L.ENRQ.CON VITAMIN;0.40748576696839;0.37145824489312;11.633;0.9115858147799829;2463.949;2702.926;4.0;enero
L.ENRQ.OTROS ADIT.;0.02146170059616;0.02758113450324;0.466;1.2851327591523702;182.9506;142.3593;4.0;enero
BIFIDUS+FIBRA;0.0;0.0;0.0;;0.0;0.0;5.0;enero
RESTO OTROS ADITI;0.02146170059616;0.02758113450324;0.466;1.2851327591523702;182.9506;142.3593;5.0;enero
TOTAL OTRAS LECHES;0.03479372451037;0.33996067751357;9.691;9.770746946397853;2255.02;230.793;1.0;enero
LECHE CONDENSADA;0.01252830218989;0.0648861888298;4.665;5.179168561415804;430.4017;83.10247;2.0;enero
LECHE EN POLVO;0.01372299783952;0.2460479386242;2.393;17.9296055789979;1632.08;91.0271;2.0;enero
LECHE EVAPORADA;0.0085424274961;0.02902647468092;3.029;3.3979187642122035;192.53779999999998;56.66345;2.0;enero
PREPARADOS LACTEOS;0.15271440919772;0.23120603534151;3.152;1.5139765563455225;1533.631;1012.982;1.0;enero
DERIVADOS LACTEOS;2.39511706070049;11.4451624034142;96.704;4.778539884838398;75917.81;15887.24;1.0;enero
BATIDOS DE LECHE;0.10441993322736;0.17901838834287;10.279;1.7144081863477807;1187.461;692.6360999999999;2.0;enero
BATIDOS CON CEREAL;0.00015173674824;0.00027820582288;0.034;1.8334769005769516;1.845389;1.006497;3.0;enero
BATIDOS DE YOGURT;0.11763799971497;0.19539047799941;12.458;1.6609469599349698;1296.06;780.3139;2.0;enero
BATIDO YOG.SIN LACT;0.00238868877035;0.00877376755466;0.633;3.6730475998131853;58.19797;15.8446;3.0;enero
LECHES FERMENTADAS;0.99285441846016;2.58849643660856;77.132;2.6071258670763573;17169.96;6585.781;2.0;enero
YOGURT;0.69018611658605;1.57852820268304;64.863;2.2871051224430596;10470.66;4578.128;3.0;enero
Y.CON ADITIVOS;0.16612306303645;0.52856089694505;28.491;3.1817430240198057;3506.039;1101.924;4.0;enero
Y.SIN ADITIVOS;0.52406305354959;1.0499679087671;54.38;2.0035144657793387;6964.625;3476.204;4.0;enero
YOGURT NATURAL;0.17694547576746;0.31355719856481;22.466;1.7720554719177035;2079.881;1173.711;4.0;enero
YOGURT SABORES;0.13844218751794;0.24096636304751;17.907;1.7405558765552178;1598.373;918.3118000000001;4.0;enero
YOGURT FRUTAS;0.01347742780147;0.03673409128678;3.143;2.725601044047983;243.66379999999998;89.39819;4.0;enero
YOGURT DESNATADO;0.11188608190071;0.27026950748541;18.798;2.4155775490042317;1792.746;742.1604;4.0;enero
YOGURT ENRIQUECIDO;0.00664700749461;0.04166979412108;2.869;6.268955489343694;276.4032;44.09079;4.0;enero
OTROS;0.24278781248287;0.67533185120654;33.036;2.7815722885768306;4479.597;1610.455;4.0;enero
YOGURT SIN LACTOSA;0.01957877234275;0.06199882513458;3.904;3.166634968179596;411.2493;129.8695;4.0;enero
L.F.CON BIFIDUBACTE;0.15240038178721;0.43223890599257;23.095;2.8362061887488266;2867.118;1010.899;3.0;enero
O.LECHES FERMENTADS;0.15026793516263;0.57772947869021;21.215;3.844662389650567;3832.183;996.7541;3.0;enero
LECHE FERM. SIN LACT;0.02142835308622;0.07561428780756;4.286;3.5287027193975433;501.56309999999996;142.1381;2.0;enero
MANTEQUILLA;0.03590479057507;0.38253257303602;21.174;10.654081723055942;2537.407;238.1629;2.0;enero
MANTEQ.ENV.LIGHT;0.00467767722991;0.05275360489677;3.919;11.277735145854354;349.92409999999995;31.02787;3.0;enero
MANTEQ.ENV.NORMAL;0.03122710882243;0.32977883245769;18.056;10.5606585077365;2187.482;207.135;3.0;enero
QUESO;0.63874667795917;6.06253509514316;87.26;9.491298044027726;40213.88;4236.921;2.0;enero
QUESO FRESCO;0.17774554464293;1.17349133694192;57.576;6.6020858036094445;7783.978;1179.018;3.0;enero
Q.FRESCO LIGHT;0.0507485029451;0.23590302910148;20.169;4.6484726723206515;1564.787;336.62390000000005;4.0;enero
Q.FRESCO SIN SAL;0.00044028256057;0.00483407735305;0.363;10.979488596538985;32.0653;2.920473;4.0;enero
Q.FRESCO BAJO SAL;0.00538964053685;0.05121667967258;3.091;9.502800664047587;339.7294;35.750449999999994;4.0;enero
Q.FRESCO CALCIO/VI;0.00787440541304;0.0201951887019;1.998;2.5646620465405148;133.95829999999998;52.23233999999999;4.0;enero
QUESO FUNDIDO;0.05404906218845;0.43161145420065;28.76;7.985549364312052;2862.956;358.51709999999997;3.0;enero
QUESO TIERNO;0.04758656501906;0.43579361185553;18.326;9.15791277813225;2890.697;315.6502;3.0;enero
QUESO SEMICURADO;0.19385818102367;2.23267307828151;58.592;11.517043368981629;14809.72;1285.896;3.0;enero
QUESO CURADO;0.03148844656421;0.41891995273438;14.616;13.3039256757242;2778.771;208.8685;3.0;enero
QUESO DE BOLA;0.01254300253209;0.15796709428518;4.755;12.594041488952282;1047.824;83.19998;3.0;enero
Q.EMMENTAL+GRUYERE;0.00796778296359;0.07544402253755;5.701;9.468634233921954;500.4337;52.85173;3.0;enero
QUESO TIPO AZUL;0.00540663992754;0.07796884513013;6.657;14.420942799041132;517.1813;35.86321;3.0;enero
OTROS TIPOS QUESO;0.10810147118848;1.05866645296266;47.087;9.793265913253126;7022.324;717.0564;3.0;enero
