Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;49.65316153511706;150.74817052654282;99.681;3.036023605867002;409814.46079000004;134983.950717;0.0;enero
T.HUEVOS KGS;0.69472783674221;2.4545709330859;63.127;3.5331403223974895;6672.8416;1888.6432439999999;1.0;enero
T.HUEVOS UNDS.;11.05969929964708;2.4545709330859;63.127;0.22193830651112137;6672.8416;30066.200399999998;1.0;enero
TOTAL HUEVOS GALLINA;10.81723784714345;2.4120401140422;62.418;0.22298114806444438;6557.22;29407.06;2.0;enero
OTRAS AVES;0.24246145250362;0.0425308190437;2.554;0.17541270418259902;115.6216;659.1404;2.0;enero
MIEL;0.02925191512337;0.23420281890334;7.041;8.006409765498805;636.689;79.52241000000001;1.0;enero
GRANEL;0.00685145386632;0.07352797074609;1.83;10.731732589996849;199.8885;18.62593;2.0;enero
ENVASADA;0.02240046125705;0.16067484815725;5.318;7.1728365908834135;436.8005;60.896480000000004;2.0;enero
TOTAL CARNE;3.49066259817467;28.22509440112852;96.987;8.085884443798117;76730.96;9489.495;1.0;enero
CARNE CERTIFICADA;0.80442977180508;7.76928949351964;56.546;9.65813271192827;21121.1;2186.872;2.0;enero
CARNE FRESCA;2.68696741268936;19.9769995580182;90.363;7.4347755256262475;54308.21;7304.62;2.0;enero
SALCHICHAS FRESCAS;0.0141054882564;0.11994558642938;4.976;8.503469305635564;326.0765;38.34629;3.0;enero
CARNE VACUNO;0.5590054755502;6.20063687184061;55.968;11.092265001049565;16856.66;1519.677;3.0;enero
TERNERA;0.52093462911177;5.84134801757164;52.586;11.213207360646246;15879.92;1416.18;4.0;enero
AÑOJO;0.02347762155759;0.22163219671204;5.655;9.440146914724972;602.5153;63.82478;4.0;enero
MAYOR;0.01459333891276;0.13765485511677;2.153;9.432718306596527;374.21979999999996;39.67253;4.0;enero
CARNE POLLO;0.94033118372251;4.85398602067206;77.356;5.1619962250496325;13195.74;2556.325;3.0;enero
POLLO ENTERO;0.29538304469958;1.20238023146569;19.446;4.07057972026988;3268.715;803.0097;4.0;enero
POLLO FILETES;0.09210660413462;0.67468019845143;24.989;7.324992651616324;1834.143;250.39520000000002;4.0;enero
POLLO POR PIEZAS;0.55284149810381;2.97692706213465;63.453;5.384774971389029;8092.886;1502.92;4.0;enero
CARNE CONEJO;0.07100352457917;0.58398251395727;11.573;8.224697540275725;1587.578;193.0257;3.0;enero
CARNE OVINO/CAPRINO;0.06098578296767;0.71913977558682;5.921;11.791924946966713;1955.008;165.7921;3.0;enero
CORDERO;0.05307200398672;0.60741754642919;5.375;11.445159421173816;1651.287;144.2782;4.0;enero
CABRITO;0.0079137753025;0.11172219237314;0.518;14.117432970048654;303.72090000000003;21.51389;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.03626414665051;0.37708004202167;1.201;10.39815015242619;1025.106;98.58542;4.0;enero
OVINO/CAPRINO PIEZ;0.02472164367405;0.34205951285819;4.858;13.836438926476081;929.9014;67.2067;4.0;enero
CARNE CERDO;0.83820235026827;6.00399065216736;69.858;7.16293702856561;16322.07;2278.684;3.0;enero
CARNE CERDO ADOBAD;0.05067130085333;0.37991134442692;13.098;7.4975644601377285;1032.803;137.75179999999997;4.0;enero
CARN.CERDO IBERICO;0.01132834733824;0.14478041598756;2.685;12.780365190493866;393.59090000000003;30.796529999999997;4.0;enero
CARNE DESPOJOS;0.04960727261669;0.34150884900205;11.143;6.884249647039281;928.4044;134.85920000000002;3.0;enero
DESPOJOS CERDO;0.0237479544731;0.14924230138645;4.755;6.28442763588239;405.7207;64.55969;4.0;enero
DESPOJOS CORDERO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
DESPOJOS POLLO;0.00838170347759;0.04864624095968;2.631;5.8038608845706365;132.2466;22.785970000000002;4.0;enero
DESPOJOS TERNERA;0.01747761098754;0.14362030665591;4.119;8.21738776302245;390.4371;47.513529999999996;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.16783171263134;1.27375759684446;34.856;7.58949293237776;3462.757;456.2567;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.10020559303645;0.77674539473325;23.006;7.751517367405178;2111.611;272.4126;4.0;enero
OTRAS AVES;0.00764280233682;0.05743387234988;2.892;7.514766157583971;156.1361;20.777240000000003;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.07205567142466;0.52382552239524;7.193;7.26973341637483;1424.039;195.886;2.0;enero
C.CONG.POLLO;0.03761733042759;0.14294380305016;3.681;3.7999454353971727;388.598;102.2641;3.0;enero
C.CONG.CERDO;0.0158614585504;0.13758147005378;3.018;8.67394821331003;374.02029999999996;43.11996;3.0;enero
C.CONG.VACA;0.012845001401;0.19466504367942;1.693;15.154925842528023;529.2040999999999;34.91961;3.0;enero
RESTO CARNES CONG.;0.00573188104566;0.04863527918085;1.093;8.485046844727327;132.21679999999998;15.58233;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.73163988190556;7.72426895287015;90.94;10.557473893785287;20998.71;1988.99;2.0;enero
JAMON CURADO+PALETA;0.12630452168722;2.04183215095193;47.444;16.165946584304972;5550.796;343.3635;3.0;enero
JAMON C.+P.ENTERO;0.04856384369597;0.50522507580253;6.535;10.403317310824054;1373.473;132.0226;4.0;enero
JAMON C.+P.LONCHA;0.07774067799124;1.53660707514939;44.829;19.76580491518679;4177.323;211.3409;4.0;enero
JAMON CURADO NORMAL;0.10572952030938;1.6318660367418;44.588;15.434346358203886;4436.288;287.4296;3.0;enero
JAMON C.N.ENTER/PI;0.03383663865728;0.30227667934371;5.43;8.933413345378625;821.7503;91.98615;4.0;enero
JAMON C.N.LONCHA;0.07189290004434;1.32958946775156;42.18;18.49403024403472;3614.538;195.4435;4.0;enero
JAMON IBERICO;0.01113916101369;0.26170926938385;5.806;23.494522528401156;711.4663;30.282220000000002;3.0;enero
JAMON IBE.ENTER/PI;0.00795257926388;0.12661582884918;0.357;15.921353896365204;344.2098;21.61938;4.0;enero
JAMON IBE.LONCHA;0.00318658395688;0.13509340375017;5.328;42.39442788201476;367.25640000000004;8.662846;4.0;enero
PALETA CURADA NORM.;0.00853670597305;0.10863615735574;3.442;12.725770068534324;295.33140000000003;23.207349999999998;3.0;enero
PALETA C.N.ENTR/PI;0.00677462945326;0.07633253082513;1.293;11.267410468977708;207.5128;18.417080000000002;4.0;enero
PALETA C.N.LONCHA;0.00176207762332;0.03230362285215;2.117;18.332690015788245;87.81859;4.790273;4.0;enero
PALETA IBERICA;0.00089912887341;0.0396208346085;1.486;44.065801666315515;107.7107;2.444315;3.0;enero
PALETA IB.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA IBE.LONCHA;0.00089912887341;0.0396208346085;1.486;44.065801666315515;107.7107;2.444315;4.0;enero
HUESOS JAMON CURADO;0.00523230717147;0.01993674628762;1.447;3.8103164883557765;54.19878;14.224219999999999;3.0;enero
LOMO EMBUCHADO N+IB;0.01977025231664;0.46684266471069;15.233;23.613389310045587;1269.129;53.74616;3.0;enero
LOMO EMB.AL CORTE;0.01069411279308;0.27579438270974;6.274;25.789365424317406;749.7571999999999;29.07234;4.0;enero
LOMO EMB.ENVASADO;0.00907613952355;0.19104828200095;9.176;21.049509155858317;519.3718;24.67382;4.0;enero
LOMO EMB.NORMAL;0.01512139869811;0.28028098728774;12.654;18.535387690205912;761.9541999999999;41.10808;4.0;enero
LOMO E.N.AL CORTE;0.00762231705282;0.14120363905268;4.004;18.525028291802496;383.8673;20.72155;5.0;enero
LOMO E.N.ENVASADO;0.00749908164528;0.13907731145056;8.579;18.54591242354633;378.0868;20.38653;5.0;enero
LOMO EMB.IBERICO;0.00464885361852;0.18656164063845;3.187;40.130676495163826;507.17470000000003;12.63808;4.0;enero
LOMO E.I.AL CORTE;0.00307179500456;0.13459070687255;2.476;43.815002847635455;365.8898;8.350788;5.0;enero
LOMO E.I.ENVASADO;0.0015770589818;0.0519709337659;0.698;32.954337387251115;141.2849;4.287293;5.0;enero
OTRAS SALAZONES;0.02238783314069;0.19187368923327;10.372;8.570444849549352;521.6157000000001;60.86215;3.0;enero
O.SALAZONES AL COR;0.01042831540553;0.07913591380041;3.467;7.5885615962886455;215.13389999999998;28.34976;4.0;enero
O.SALAZONES ENVASA;0.01195951773516;0.11273773864836;6.836;9.426612439134743;306.4817;32.512389999999996;4.0;enero
TOCINO Y MANTECA;0.02143626981212;0.14265883358499;11.181;6.655021364973043;387.82329999999996;58.27529;3.0;enero
TOCINO;0.00459155073575;0.0361627796239;1.254;7.875940331509419;98.30985000000001;12.482299999999999;4.0;enero
CHORIZOS;0.10112516857016;1.07987793886926;44.127;10.678626835811395;2935.688;274.9125;3.0;enero
CHOR.IBERICO;0.00699870219071;0.10132266451161;6.714;14.477350478786393;275.4494;19.026229999999998;4.0;enero
CHOR.NORMAL;0.09412647741479;0.97855505365069;42.085;10.39617204985183;2660.238;255.88629999999998;4.0;enero
CHORIZO DE PAVO;0.00123704409818;0.02160699399977;1.545;17.46663197490299;58.73941000000001;3.3629499999999997;4.0;enero
CHORIZO DE CERDO;0.09903062276975;1.05294874743314;43.465;10.632557061478709;2862.48;269.21840000000003;4.0;enero
SALCHICHON/SALAMI;0.01813571131158;0.22395215788389;17.16;12.348683436573324;608.8222;49.3026;3.0;enero
SALCHICHON DE PAVO;0.00048824277904;0.00847920813246;0.764;17.366786558638324;23.05104;1.327306;4.0;enero
SALCHICHON DE CERD;0.01757601686248;0.21429078443793;16.365;12.192226834697019;582.5574;47.78105;4.0;enero
FUET/LONGANIZAS;0.03048910635953;0.36059253347573;20.531;11.826930222996086;980.2841;82.88575999999999;3.0;enero
FUET/LONGANIZ.PAVO;0.00109760659298;0.02162980774215;1.963;19.70633912042157;58.80143;2.983884;4.0;enero
FUET/LONGANIZ.CERD;0.02909249848879;0.33238544876224;19.078;11.425125583156097;903.6021;79.08903;4.0;enero
OTROS PROD.CURADOS;0.02158828540676;0.29962845335876;14.335;13.879214940563363;814.551;58.688550000000006;3.0;enero
O.PROD.CURAD.CORTE;0.00892711082971;0.1389789865015;6.132;15.568193243307835;377.8195;24.26868;4.0;enero
O.PROD.CURAD.ENVAS;0.01266117457704;0.16064946685726;8.469;12.68835413962923;436.7315;34.41987;4.0;enero
SALCHICHAS;0.10362007678941;0.4301924353814;29.683;4.151632084346545;1169.494;281.695;3.0;enero
JAMON COCIDO;0.08644046801281;0.85553299617202;46.001;9.897366544165832;2325.798;234.9916;3.0;enero
J.COC.SIN/BAJO SAL;0.00387284428149;0.04081452818201;2.605;10.538644266450872;110.9558;10.528469999999999;4.0;enero
PALETA COCIDA;0.00106286842158;0.01056253098414;1.056;9.937759716651664;28.71463;2.889447;3.0;enero
FIAMBRES;0.12529191817141;1.16301015674411;52.04;9.28240363558749;3161.686;340.6107;3.0;enero
PAVO;0.07462797421662;0.76926269322257;39.228;10.307966969458134;2091.269;202.8789;4.0;enero
POLLO;0.00440886423107;0.04552103045754;4.217;10.324888241448532;123.7506;11.98566;4.0;enero
PROD.A BASE SANGRE;0.00859234619675;0.06109323047093;2.497;7.1101919163854355;166.0842;23.358610000000002;3.0;enero
MORCILLA;0.00859234619675;0.06109323047093;2.497;7.1101919163854355;166.0842;23.358610000000002;4.0;enero
FOIE-GRAS Y PATES;0.00717136492112;0.06843272995142;7.054;9.542497237841117;186.0369;19.49562;3.0;enero
COCIDOS Y OTROS;0.0329913236575;0.3082494877814;20.773;9.343350117791505;837.9875999999999;89.68813;3.0;enero
COCIDOS Y O. CORTE;0.00285035456541;0.03075741244949;2.843;10.790732080372765;83.61516;7.748794;4.0;enero
COCIDOS Y O.ENVASA;0.03014097056346;0.27749206061811;18.357;9.206473959883006;754.3724;81.93934;4.0;enero
COCIDOS DE PAVO;0.00134051740485;0.01556365865418;1.268;11.610187676682639;42.310379999999995;3.644246;4.0;enero
COCIDOS DE CERDO;0.03149770036563;0.29086248803479;19.845;9.23440392975821;790.7204;85.62766;4.0;enero
